artist_id,artist_name,artist_mbtags,tempo,key
ARD7TVE1187B99BFB1,Casual,,92.198,1.0
ARMJAGH1187FB546F3,The Box Tops,classic pop and rock,121.274,6.0
ARKRRTF1187B9984DA,Sonora Santanera,,100.07,8.0
AR7G5I41187FB4CE6C,Adam Ant,uk,119.293,0.0
ARXR32B1187FB57099,Gob,,129.738,2.0
ARKFYS91187B98E58F,Jeff And Sheri Easter,,147.782,5.0
ARD0S291187B9B7BF5,Rated R,,111.787,1.0
AR10USD1187B99F3F1,Tweeterfriendly Music,,101.43,4.0
AR8ZCNI1187B9A069B,Planet P Project,,86.643,4.0
ARNTLGG11E2835DDB9,Clp,,114.041,7.0
ARGSJW91187B9B1D6B,JennyAnyKind,,146.765,5.0
ARC43071187B990240,Wayne Watson,,117.975,7.0
ARL7K851187B99ACD2,Andy Andy,,130.04,9.0
ARHHO3O1187B989413,Bob Azzam,,137.334,10.0
ARIK43K1187B9AE54C,Lionel Richie,soul and reggae,125.197,3.0
ARD842G1187B997376,Blue Rodeo,canadian,119.826,7.0
ARIG6O41187B988BDD,Richard Souther,,127.756,8.0
AR1ZHYZ1187FB3C717,Faiz Ali Faiz,,99.273,6.0
ARYKCQI1187FB3B18F,Tesla,,150.062,7.0
ARNPAGP1241B9C7FD4,lextrical,,138.331,7.0
ARQGYP71187FB44566,Jimmy Wakely,,86.186,1.0
ARI3BMM1187FB4255E,Alice Stuart,,110.382,11.0
AR5KOSW1187FB35FF4,Elena,,111.874,2.0
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,rock and indie,166.862,7.0
AR47JEX1187B995D81,SUE THOMPSON,,137.522,10.0
ARGIWFO1187B9B55B7,Five Bolt Main,,164.672,7.0
ARNTLGG11E2835DDB9,Clp,,125.006,6.0
ARDNS031187B9924F0,Tim Wilson,,90.022,5.0
AROUOZZ1187B9ABE51,Willie Bobo,,127.025,8.0
ARH4Z031187B9A71F2,Faye Adams,,95.957,8.0
ARB29H41187B98F0EF,Terry Callier,classic pop and rock,110.189,6.0
AR1Y2PT1187FB5B9CE,John Wesley,,138.007,4.0
ARAJPHH1187FB5566A,The Shangri-Las,,130.1,10.0
AR0RCMP1187FB3F427,Billie Jo Spears,,160.839,4.0
AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),,41.993,7.0
ARGUVEV1187B98BA17,Sierra Maestra,,189.646,9.0
ARPQ4Z01187FB3A736,Butthole Surfers,texas,130.586,4.0
ARNQAVF11F4C844C04,Despina Vandi,,128.292,8.0
ARXUT4W1187FB48BEB,Javier Navarrete,,90.932,3.0
ARDD1RC1187B9B52B4,Jacob Young,jazz and blues,89.667,1.0
ARLGWFM1187FB4AC9F,Scarlet's Remains,,115.061,7.0
ARWYVP51187B98C516,The Suicide Machines,,115.887,2.0
ARFCUN31187B9AD578,The Rolling Stones,british,139.333,9.0
AR6YDKV1187B989230,Roberto Torres,,117.271,0.0
ARV1JVD1187B9AD195,Loudon Wainwright III,easy listening soundtracks and musicals,102.428,3.0
AR7TTS41187B9B42D3,R.L. Burnside,delta blues,89.984,2.0
ART3O5Z1187B9AB043,Stevie Ray Vaughan,jazz and blues,116.721,1.0
AR5U94U1187FB5CDCF,John Hammond,folk,123.142,7.0
ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,dance and electronica,141.919,0.0
AR6IRG41187B9A4D98,Ec8or,,95.596,10.0
